Complete ✔,No Prime,Nokko,,,,,,,,,,,,,Grendel,25%,X,,,,Key farm via Arbitration + Special Grendel Missions,3,,,,,,,,,,,
Complete ✔,Nova Prime,Nova,,,,,,,,,,,,,Gyre,100%,X,X,Crafted,X,Zariman Bounties / Missions,0,,,,,,,,,,,
Nyx,,,,,,,,,,,,,,,Hildryn,50%,,,Crafted,Crafted,"Purchased from Little Duck for 5,000 Standing & Exploiter Orb",2,,,,,,,,,,,
Complete ✔,Oberon Prime,Oberon,,,,,,,,,,,,,Jade,0%,,,,,Ordis + Elevation Map,4,,,,,,,,,,,
Octavia,,,,,,,,,,,,,,,Koumei,0%,,,,,Koumei's Shrine,4,,,,,,,,,,,
Oraxia,No Prime,,,,,,,,,,,,,,Nidus,25%,X,,,,"The Glast Gambit Quest + Infested Salvage (Erzurum, Eris)",3,,,,,,,,,,,
,Protea Prime,,,,,,,,,,,,,,Oraxia,0%,,,,,Duviri,4,,,,,,,,,,,
Qorvex,No Prime,,,,,,,,,,,,,,Protea,25%,X,,,,Granum Void – Access via Treasurer + Corpus Ship missions,3,,,,,,,,,,,
,Revenant Prime,,,,,,,,,,,,,,Qorvex,0%,,,,, Whispers in the Walls quest + Sanctum Anatomica Bounties ,4,,,,,,,,,,,
Rhino,,,,,,,,,,,,,,,Revenant,50%,,Crafted,,Crafted,Plains of Eidolon Bounties – Rotation-specific,2,,,,,,,,,,,
Complete ✔,Saryn Prime,Saryn,,,,,,,,,,,,,Sirius & Orion,0%,,,,,Uranus Proxima Railjack Missions,4,,,,,,,,,,,
Sirius & Orion,No Prime,,,,,,,,,,,,,,Sevagoth,50%,X,Crafted,,,Call of the Tempestarii quest,2,,,,,,,,,,,
,Sevagoth Prime,,,,,,,,,,,,,,Styanax,50%,,X,Crafted,,Kahl’s Garrison – Weekly Garrison missions,2,,,,,,,,,,,
Styanax,,,,,,,,,,,,,,,Temple,0%,,,,,1999 - Beating Heartstrings,4,,,,,,,,,,,
Temple,No Prime,,,,,,,,,,,,,,Uriel,50%,X,,,X,The Old Peace quest + Roathe's Oblivion on Infernium 21 of The Descendia,2,,,,,,,,,,,
Titania,,,,,,,,,,,,,,,Wisp,25%,,,Crafted,,Ropalolyst Assassination Wisp Component,3,,,,,,,,,,,
Complete ✔,Trinity Prime,Trinity,<-Needs Redone for MP,,,,,,,,,,,,Xaku,50%,X,,,Crafted,Cambion Drift Bounties,2,,,,,,,,,,,
Uriel,No Prime,,,,,,,,,,,,,,Yareli,75%,,Crafted,Crafted,Crafted,The Waverider quest,1,,,,,,,,,,,
Complete ✔,Valkyr Prime,Valkyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vauban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete ✔,Volt Prime,Volt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voruna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wisp Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Xaku Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yareli Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zephyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
